gvkey,Restate_Int
1004,0.06533647886532709
1045,0.45010248245265616
1050,0.06843799065790578
1072,0.1046221412149046
1075,0.03449032043750448
1078,0.11856300178981313
1094,0.17255171697593452
1104,0.07007898966453283
1117,0.11109443166808836
1121,0.04864966277986095
1161,0.19148485264971282
1173,0.07174768630154904
1209,0.11575374591473384
1210,0.1152374707110109
1224,0.22010974038900435
1225,0.220770659333162
1230,0.0791872145109079
1234,0.09523408036591487
1254,0.05013740703225751
1266,0.08533175035546067
1327,0.2402614157990654
1356,0.12134824875049732
1380,0.06094047347336232
1382,0.16650987340116144
1388,0.23198022506595228
1397,0.07623132512135071
1408,0.09539107851716476
1410,0.10170954080604627
1429,0.27756179737605524
1439,0.11926613680364954
1440,0.09649864945245576
1468,0.1404560304949428
1496,0.10592186162639308
1533,0.10919905978956472
1554,0.35855199589853903
1559,0.10335198050921673
1562,0.24298145463976792
1585,0.09363646343158563
1598,0.05533379026305725
1602,0.13546771519917147
1613,0.032090092476458325
1632,0.11915076704556302
1633,0.08707458824992159
1634,0.11694421568848448
1635,0.1625511838560283
1650,0.08265375086319907
1659,0.11123640275518834
1678,0.04804307172251565
1682,0.04967249760950038
1686,0.4555199257481898
1689,0.22850580186723096
1690,0.18201185902382488
1704,0.14796197496394398
1706,0.10551114752139643
1712,0.10773911145851375
1722,0.2190307181729948
1728,0.050633052317151275
1743,0.13937403681465088
1745,0.22133865653073503
1773,0.08085630199855115
1783,0.11217126216596102
1794,0.1103459219051575
1820,0.07772770592344391
1823,0.03453791157326765
1837,0.049717988213809586
1860,0.048179768352809474
1864,0.13926882202843166
1891,0.18240342970732473
1913,0.03549826583726136
1919,0.10040970058206339
1920,0.10705925797618748
1926,0.45982573825450246
1951,0.08990526116497441
1968,0.05898534906391806
1974,0.06428937171928774
1976,0.09786799379294595
1979,0.06242396246767457
1988,0.04144488894899834
1995,0.23983919081489324
2044,0.047238350040002
2049,0.07890844898140842
2061,0.09770624335310965
2073,0.06741092732479234
2080,0.12094038850945489
2086,0.11326311756066987
2100,0.09970496175991708
2101,0.08615649310023116
2111,0.20247808031189435
2124,0.06539009099101875
2136,0.11964238250622042
2150,0.1109344396321802
2154,0.030592852058668123
2184,0.45768429513107645
2220,0.15459894249816347
2222,0.09362468321266762
2230,0.23515164912853442
2240,0.060827842269160826
2259,0.07124426426070646
2269,0.10253833601762746
2271,0.12179009606777734
2282,0.10253833601762746
2285,0.07396280092778858
2290,0.15007546636225785
2295,0.10272734213231491
2312,0.15417002794326765
2316,0.0813248085502134
2342,0.08056427249175357
2352,0.09588876749146424
2390,0.04587161912213608
2403,0.10799517851912507
2435,0.06114707940328468
2436,0.08763823242149274
2444,0.23526420064091458
2448,0.04761507052868328
2490,0.08827903281849435
2497,0.14491240791414509
2504,0.2867854996806589
2536,0.42204813373500805
2538,0.12295321624011882
2555,0.08859215604351763
2556,0.1524746914561344
2573,0.09275193150200585
2574,0.07294817280753517
2577,0.09964662096097071
2578,0.08336815494168312
2581,0.09427501476544953
2593,0.09230218305700283
2595,0.08486010709487078
2596,0.1042861501582529
2615,0.1225124854467885
2628,0.02919089347415619
2663,0.06892443720771389
2710,0.12406743851496849
2751,0.1638742543188048
2771,0.057872155169360166
2787,0.16774835357077908
2802,0.04041209475028508
2807,0.10166626990203863
2811,0.07479129733137727
2812,0.1680614575390199
2817,0.0815561787032835
2818,0.03313060803515316
