"gvkey","Restate_Int","act","bkvlps","cogs","dltt","dp","dv","ebit","gdwl","ppent","revt","xlr","leverage_index","depre_index","saleadmin_index"
1078,0,14042.733,11.4707,9041.16,9487.789,1854.886,1959.15,5523.545,10128.841,7518.149,25914.238,1429.867,0.675636929079261,0.197895985665262,0.0551768877016565
1078,0,17042.559,11.2595,10427.193,8713.327,1838.829,2174.252,6477.095,9987.361,7219.166,29527.552,1786.61,0.511268700903426,0.203006184039625,0.0605065397903626
1078,0,23313.891,14.7345,10816.819,11266.294,2089.51,2414.46,6903.741,13200.174,7619.489,30764.707,2814,0.483243830898926,0.215213741395998,0.0914684479198843
1082,0,13.236,5.9306,9.801,21.29,0.87,0.512,-1.177,5.459,21.568,18.183,74.03,1.60849199153823,0.0387735092254212,4.0713853599516
1082,0,10.21,6.0845,10.988,25.139,0.993,0.509,-1.998,5.459,32.799,19.02,5.108,2.46219392752204,0.0293856534090909,0.268559411146162
1082,0,17.5,6.3463,11.108,19.71,0.759,0.509,-3.052,5.459,22.585,17.756,2.726,1.12628571428571,0.0325137080191912,0.153525568821807
1082,0,10.602,4.7505,10.115,19.221,0.821,0.501,-4.126,6.355,20.189,16.456,2.726,1.81295981890209,0.0390766301761066,0.165653864851726
1082,0,8.726,4.1322,13.048,5.94,0.39,0.185,-4.269,6.354,4.806,18.562,137.408,0.680724272289709,0.0750577367205543,7.4026505764465
1094,0,131.64,4.4335,258.989,0,1.291,3.641,12.159,1.72,5.543,313.381,5.108,0,0.188908399180568,0.0162996480322674
1094,0,141.106,4.739,245.025,0,1.346,3.637,12.888,1.755,4.808,297.13,82.987,0,0.2187195320117,0.279295257967893
1094,0,161.033,5.1306,257.189,0,1.791,4.257,15.064,1.82,4.406,313.473,137.408,0,0.289010811683072,0.438340782140727
1094,0,193.784,5.7436,289.908,0,2.378,6.11,21.377,1.987,4.307,359.591,74.03,0,0.355721765145849,0.205872783245409
1094,0,171.646,5.7151,265.16,0,1.866,4.949,11.343,1.861,4.249,322.646,74.03,0,0.305151267375307,0.229446514136236
1104,0,23.865,4.0382,26.95,5.577,0.641,0.38,6.843,0.089,2.786,49.946,2.726,0.233689503456945,0.187044061861687,0.0545789452608818
1104,0,31.487,5.1596,31.445,10.218,0.835,0.429,6.713,0.089,2.54,56.863,82.987,0.324514879156477,0.247407407407407,1.45942000949651
1104,0,37.86,6.4863,35.808,10.187,0.872,0.529,6.752,0.089,2.479,63.173,82.987,0.269070258848389,0.260220829603104,1.3136466528422
1104,0,38.646,6.8465,40.054,11.75,1.008,0.595,6.879,0.089,2.269,68.719,5.108,0.304041815453087,0.307598413182789,0.0743316986568489
1104,0,35.756,7.7711,36.157,9.154,0.918,0.663,3.027,0,2.088,59.149,2.726,0.256012976843047,0.305389221556886,0.0460870006255389
1117,0,22.131,2.1179,13.296,0,0.548,0,5.524,0,1.22,28.519,74.03,0,0.309954751131222,2.5958133174375
1117,0,28.602,2.421,14.437,0,0.531,0,5.608,0,0.913,32.445,2.726,0,0.367728531855956,0.0840191092618277
1117,0,22.985,2.0748,12.764,0,0.39,6.698,2.268,0,1.338,26.976,137.408,0,0.225694444444444,5.09371293001186
1117,0,19.511,1.9569,9.721,1.5,0.384,0,-3.049,0,1.386,19.175,74.03,0.076879708882169,0.216949152542373,3.86075619295958
1117,0,20.557,2.1364,13.651,0,0.672,0,3.499,0,1.306,27.989,137.408,0,0.339737108190091,4.90935724749008
1121,0,270.45,15.5657,2329.094,11.475,7.06,1.56,19.011,0,39.896,2364.833,137.408,0.0424292845257903,0.150353522446546,0.0581047372055447
1121,0,241.79,17.6311,2213.615,3,9.485,1.771,14.967,0,43.316,2246.603,2.726,0.0124074610198933,0.17963674930399,0.00121338750104046
1121,0,311.893,21.2048,2602.035,0,11.384,1.982,11.829,0,39.698,2636.222,137.408,0,0.222857366587056,0.0521230761294003
1121,0,169.366,19.3838,4148.106,0,13.373,2.109,-11.474,0,35.586,4159.672,5.108,0,0.273146918850467,0.00122798143699792
1121,0,202.563,19.8675,1916.818,0,10.32,2.109,6.401,0,42.305,1943.128,82.987,0,0.196104513064133,0.0427079430691133
1161,0,3558.836,7.696,2236.468,1327.065,1219.344,0,247.655,0,2701,5847.577,137.408,0.372892990854313,0.311029848401059,0.0234982797148289
1161,0,3963,10.5759,2066,3672,837,0,401,3217,3987,5649,5.108,0.926570779712339,0.173507462686567,0.000904230837316339
1161,0,3816,4.934,2717,5031,1305,0,-1211,1907,4720,6013,74.03,1.31839622641509,0.216597510373444,0.0123116580741726
1161,0,2379,-0.1346,2401,4702,1223,0,-968,323,4296,5808,5.108,1.97646069777217,0.221598115600652,0.000879476584022039
1161,0,4275,0.9657,2073,4252,1128,0,-513,323,3809,5403,82.987,0.994619883040936,0.228478833299575,0.0153594299463261
1173,0,16.132,3.3305,23.906,2.564,0.665,0,2.308,0,3.617,34.763,137.408,0.15893875526903,0.155301261092947,3.95270833932629
1173,0,13.674,3.1531,21.801,2.334,0.632,0,1.11,0,3.34,31.253,74.03,0.170688898639754,0.159113796576032,2.36873260167024
1173,0,15.427,2.1789,20.589,0,0.712,0,-3.862,0.366,2.127,25.41,5.108,0,0.250792532581895,0.201023219205037
1173,0,13.504,0.7754,16.619,0,0.618,0,-5.582,0.366,1.197,20.451,2.726,0,0.340495867768595,0.133294215441788
1173,0,15.874,2.0692,18.955,0,0.49,0,4.405,0.366,2.917,31.136,2.726,0,0.143821543880247,0.0875513874614594
1183,0,110.798,4.2496,58.422,98,10.52,0,2.826,0,173.945,118.065,74.03,0.884492499864619,0.0570297888488331,0.627027484860035
1183,0,467.154,4.8831,1610.658,334.759,55.857,0,408.637,658.833,289.758,2340.144,2.726,0.716592387092907,0.161616249294735,0.00116488557969082
1209,0,2414.7,20.6197,5298.7,2052.9,728.3,276.2,955.6,920,5868.8,8143.5,2.726,0.850167722698472,0.110396992617968,0.000334745502548044
1209,0,2612.6,22.665,5841.8,2280.2,763,293.6,1013.5,989.1,6162,8850.4,5.108,0.872770420270994,0.110180505415162,0.000577149055409925
1209,0,2858.4,25.5187,6538.2,2976.5,840,312,1338.8,1229.6,6770,10037.8,82.987,1.04131682059894,0.110381077529566,0.0082674490426189
1209,0,2848.1,24.0318,6833.9,3515.4,869,349.3,1490.5,928.1,6614.8,10414.5,2.726,1.23429654857624,0.116117480424383,0.000261750444092371
1209,0,2997.8,22.6825,5202,3715.6,840.3,373.3,1154.2,916,6859.6,8256.2,82.987,1.23944225765561,0.109131287419317,0.0100514764661709
1210,0,19.032,5.4287,66.097,0.764,0.683,0.667,3.158,0,3.169,79.529,82.987,0.0401429171920975,0.177310488058152,1.04348099435426
1210,0,20.604,6.155,53.229,0.627,0.666,0.668,3.826,0,2.293,67.303,2.726,0.0304309842748981,0.225076039202433,0.0405033950938294
1210,0,23.419,7.3082,62.702,0.494,0.472,0.611,5.053,0,1.847,78.399,2.726,0.0210939835176566,0.203536006899526,0.0347708516690264
1210,0,25.265,8.974,72.322,0.019,0.438,0.727,6.666,0,1.608,90.668,74.03,0.000752028497922026,0.214076246334311,0.816495345656681
1210,0,26.279,10.2431,64.585,0.006,0.415,0.8,5.434,0,1.317,81.078,74.03,0.000228319190227939,0.239607390300231,0.913071363378475
1224,0,523.111,22.4296,2434.325,0.379,62.713,25.434,462.213,598.758,433.3,3367.076,74.03,0.000724511623728042,0.126434186200765,0.0219864357086089
1224,0,90.492,8.8889,4.938,32.319,7.501,0,-2.502,18.049,51.215,70.25,137.408,0.357147593157406,0.12775052796512,1.95598576512455
1224,0,344.937,5.5311,14.55,216.312,33.4,0,148.385,68.88,89.823,318.634,137.408,0.627105819323529,0.271053293622132,0.431240859418643
1224,0,465.869,3.1852,269.694,544.35,46.234,0,48.312,41.013,364.4,531.085,74.03,1.16846152029862,0.112591748369594,0.139393882335219
1224,0,329.436,5.1796,53.2,236.936,44.382,0,-5.752,32.094,265.9,257.378,82.987,0.719217086171517,0.143037623838959,0.322432375727529
1225,0,880.409,7.6289,4364.679,786.02,193.647,65.4,495.892,688.683,1153.001,5773.7,82.987,0.892789601196716,0.143799270484937,0.0143732788333304
1225,0,153.502,4.377,96.069,113.448,13.2,0,-6.826,135.507,15.396,150.207,2.726,0.739065289051608,0.461603021401595,0.0181482886949343
1225,0,283.8,7.4344,83.208,258.75,32.341,0,55.514,115.415,135.032,278.079,137.408,0.911733615221987,0.193227103535218,0.494132962215773
1225,0,253.915,7.591,658.622,305.478,49.543,1.654,74.883,110.679,524.8,960.9,82.987,1.2030718941378,0.0862603009003331,0.0863638255801852
1225,0,233.392,7.6289,275.455,788.439,137.8,31.93,-33.959,471.051,788.402,640.431,5.108,3.37817491602111,0.148779639862579,0.00797587874415823
1228,0,6.789,0.3719,13.226,3.418,0.585,0.125,-4.097,17.932,0.416,19.102,82.987,0.503461481808808,0.584415584415584,4.34441419746623
1230,0,1540.3,24.7384,2457.6,969.1,143.4,0,8.3,0,2032.2,2975.3,923.6,0.629163150035707,0.0659128516271374,0.310422478405539
1230,0,1572.3,21.976,2666.6,1031.7,157.5,0,127,0,2359,3334.4,973.8,0.656172486166762,0.062586926286509,0.292046545105566
1230,0,1390.3,26.9113,2711.5,1124.6,177.4,0,226.1,0,2962.3,3506,957.9,0.808890167589729,0.0565022135872854,0.273217341699943
1230,0,1508.9,18.2472,3176.1,1596.3,204.6,0,-130.4,0,3167.7,3620.3,943.7,1.0579229902578,0.0606707588292857,0.26066900533105
1230,0,1634.3,24.5034,2522.9,1699.2,219.2,0,312,0,3167.9,3399.8,988.1,1.03971119133574,0.0647161288417821,0.290634743220189
1234,0,27.973,33.7486,37.73,2.529,5.389,1.119,12.698,9.73,35.254,72.089,5.108,0.0904086083008615,0.132593558546367,0.0708568574955957
1234,0,30.658,37.8308,43.567,11.399,5.005,1.375,14.338,9.73,51.442,81.02,2.726,0.371811598930132,0.0886672453806225,0.033646013330042
1234,0,32.609,44.7106,45.549,0,5.222,1.67,18.797,9.73,54.05,88.54,74.03,0,0.0881023080037792,0.8361192681274
1234,0,49.107,51.2409,46.995,0,6.353,2.123,22.973,9.73,53.37,95.895,2.726,0,0.106374428612092,0.0284269252828615
1234,0,56.202,58.9551,48.149,0,7.163,2.613,25.993,9.73,53.141,100.643,5.108,0,0.118781507031043,0.0507536540047495
1239,0,1428.801,18.5521,1889.228,122.322,59.661,45.379,371.192,568.609,354.026,3772.001,82.987,0.085611642209097,0.144217729829557,0.0220007895013814
1239,0,857.538,9.9265,710.3,2.077,28.824,16.049,143.447,213.667,224.494,1541.581,137.408,0.00242205010156984,0.113785834405767,0.0891344664990033
1239,0,880.38,11.3486,681.377,0.683,22.498,24.797,168.526,159.218,221.667,1443.456,74.03,0.000775801358504282,0.0921426084819692,0.0512866342999025
1239,0,865.628,12.1781,675.537,0.429,23.241,28.452,192.874,224.263,249.911,1433.98,74.03,0.000495593950288114,0.0850844950796626,0.0516255456840402
1246,0,1727.914,11.5679,2745.064,953.463,80.563,22.393,169.121,1277.785,245.923,4377.305,5.108,0.551800031714541,0.246757900798197,0.00116692805276306
1246,0,1379.574,13.078,2713.101,657.583,73.37,21.009,189.93,1297.333,227.701,4228.249,5.108,0.476656562098155,0.24369666955635,0.00120806508793593
1246,0,1364.288,14.5515,2716.446,757.533,68.719,20.048,202.853,1333.249,226.27,4168.344,2.726,0.555258860299292,0.232954449148951,0.000653976735125508
1254,0,303,23.0455,1196,296,84,39,182,72.953,1453,1602,74.03,0.976897689768977,0.0546519193233572,0.046210986267166
1254,0,285,24.108,1231,401,85,42,145,9,1647,1607,82.987,1.40701754385965,0.0490762124711316,0.0516409458618544
1254,0,421,26.6509,1257,452,93,48,166,12,1682,1681,137.408,1.07363420427553,0.0523943661971831,0.0817418203450327
1254,0,284,26.1463,1475,452,101,51,157.6,26,1668,1896.6,74.03,1.59154929577465,0.0570944036178632,0.0390330064325635
1254,0,307,26.4634,1104,406,105,52,42,27,1624,1405,82.987,1.32247557003257,0.0607287449392713,0.0590654804270463
1266,0,128.977,19.5666,33.695,48.039,6.957,7.369,5.709,0,105.954,55.525,137.408,0.372461756747327,0.0616149002311555,2.47470508779829
1266,0,110.913,19.143,57.731,60.687,8.59,7.37,-0.646,0,131.351,77.434,2.726,0.547158583754835,0.0613830114119522,0.0352041738771082
1266,0,127.216,16.1677,96.365,135.539,8.77,8.106,16.228,0,128.99,134.837,82.987,1.06542416048296,0.0636614401858304,0.615461631451308
1266,0,123.13,15.6622,94.008,132.288,8.317,8.144,2.579,0,125.412,116.382,74.03,1.07437667505888,0.0621929424432995,0.636094928769054
1266,0,51.335,14.4917,80.146,73.806,7.544,6.095,-7.258,0,119.048,89.528,82.987,1.43773254115126,0.0595930232558139,0.926939058171745
1279,0,1173.818,10.4036,2163.699,3640.91,308.141,0,566.047,0,6277.428,3037.887,137.408,3.10176705417705,0.0467903380862003,0.0452314388257364
1279,0,909.422,12.5809,2116.035,3409.993,273.134,0,732.32,3014.879,6512.893,3121.489,2.726,3.74962668596097,0.0402494714506736,0.000873301171332015
1279,0,1314.959,15.1614,2212.718,3982.712,277.014,25.003,817.288,2426.7,7196.58,3307.02,137.408,3.02877276021534,0.0370657009197984,0.0415503988485101
1279,0,1495.722,16.8321,2302.499,4155.432,273.912,101.135,809.505,374,8002.196,3385.916,137.408,2.7782114590813,0.0330967164759087,0.0405822235400996
1279,0,1345.3,18.3594,2224.9,4417,282.1,101.7,919.8,3391.046,8957.1,3426.8,82.987,3.28328253921059,0.0305329465754611,0.0242170538111358
1300,0,11962,13.5675,20444,3082,697,700,2848,7660,4658,27653,1054.078,0.257649222538037,0.13015873015873,0.0381180342096698
1300,0,12304,12.141,22830,3909,794,744,3544,8403,4797,31367,2171,0.31770156046814,0.142013950992667,0.0692128670258552
1300,0,13685,12.3528,24968,5419,837,767,4267,9175,4985,34589,2702,0.395981001096091,0.143765029199588,0.0781173205354303
1300,0,13263,9.7837,26181,5865,905,811,4541,10185,4934,36556,2991,0.442207645329111,0.154992293200891,0.0818196739249371
1300,0,13936,11.5728,21814,6246,960,918,3860,10494,4847,30908,2154,0.448191733639495,0.165317719993112,0.0696906949657047
1308,0,35.652,3.6106,70.428,54.937,6.122,0,13.218,12.417,80.574,105.344,137.408,1.5409233703579,0.0706145612254314,1.30437424058323
1308,0,180.762,8.9942,182.994,561.446,22.118,0,66.656,125.835,554.258,307.304,74.03,3.10599572919087,0.0383742556941996,0.240901517715357
1308,0,217.894,11.7989,341.45,508.3,54.981,0,124.782,138.398,626.668,570.967,5.108,2.33278566642496,0.0806588141404154,0.00894622631430538
1308,0,225.238,10.7473,446.235,579.044,67.672,0,102.254,43.273,760.99,675.948,82.987,2.57080954368268,0.0816641767089597,0.122771278264008
1308,0,198.248,6.2392,379.437,475.206,82.998,0.665,-5.047,40.639,746.478,506.253,82.987,2.39702796497316,0.100060761251682,0.16392396687032
1327,0,495.982,4.9965,444.311,230,39.442,0,53.333,493.389,144.208,792.371,5.108,0.463726506203854,0.214767220255922,0.00644647519911758
1327,0,420.843,4.5101,449.198,179.335,40.361,0,25.856,493.389,150.383,778.788,2.726,0.42613278586076,0.211597743572537,0.00350031073925125
