"gvkey","act","bkvlps","cogs","dltt","dp","dv","ebit","gdwl","ppent","revt","xlr","leverage_index","depre_index","saleadmin_index"
1602,23129,25.691,1497,10874,1017,0,5591,11334,5522,15053,10017.117,0.470145704526785,0.155528368252026,0.665456520294958
1613,217.233,19.0953,229.528,0,8.565,7.378,44.625,0,145.591,326.886,490.791,0,0.0555606009496873,1.5014133367596
1632,3478.999,10.7138,841.17,400.635,120.911,249.964,916.557,255.58,472.665,2761.503,2423.102,0.115158124506503,0.203699273555535,0.87745767431721
1633,351.796,31.7456,255.947,0,17.569,5.044,21.685,1.849,78.613,423.597,39.189,0,0.182664115946851,0.0925148195100532
1634,22.396,2.9019,82.051,0,0.86,0,-0.729,0,0.784,106.688,808.819,0,0.523114355231143,7.58116189262148
1635,118.211,11.7677,96.604,30,9.908,0,18.784,42.435,48.711,168.789,293.022,0.253783488846216,0.169023695388867,1.73602545189556
1650,864.495,9.0341,1756.1,709,317,72.088,214.712,0,2163.556,3455,99.138,0.820131984569026,0.127793930070516,0.0286940665701881
1659,1138.558,24.4864,3075.812,276.825,35.1,6.581,80.849,10.1,319.515,3393.791,149.894,0.243136493705196,0.0989805845776405,0.044167127557354
1678,3480,60.4406,2900,8095,3194,226,5709,1032,38151,12183,146.754,2.32614942528736,0.0772523884387471,0.0120458015267176
1682,55.975,7.7866,34.597,0,16.887,2.355,20.728,0,106.905,87.815,171.903,0,0.136414307871268,1.95755850367249
1686,798.041,20.2233,1742.736,745.747,51.1,0,114.3,150.901,453.017,1623.272,112,0.934472038404042,0.10136535764515,0.0689964466829958
1689,1197.645,19.8312,67.76,0,178,0,260.211,278.206,243.681,1447,11.19,0,0.422120038607383,0.00773324118866621
1690,41678,52.1753,38609,0,932,0,18385,741,4768,65225,13934,0,0.163508771929825,0.213629743196627
1704,6765.315,5.6748,5529.15,204.271,304.515,348.522,1629.633,1336.426,963.004,9548.667,5237.971,0.0301938638481726,0.240244919405547,0.548555206711052
1706,460.15,10.8693,702.301,367.38,51.875,2.702,139.566,704.889,108.382,1160.508,524.285,0.798391828751494,0.323698808788384,0.45177198261451
1712,26.575,2.3878,119.624,20.836,2.704,0,5.852,0,34.453,139.11,419.14,0.784045155221072,0.0727722905509056,3.01301128603264
1722,18134,22.8623,56982,6830,857,372,2445,262,8712,61682,26324,0.376640564685122,0.0895600376214861,0.426769560001297
1728,82.081,26.7406,252.199,1.228,5.307,3.161,29.573,0,38.247,417.065,41.352,0.0149608313738868,0.121848739495798,0.0991500125879659
1743,399.684,18.9945,1640.844,42.657,71.565,3.126,-54.545,3.7,407.246,1657.864,1004.974,0.106726814183205,0.149463984745547,0.60618603214739
1745,1757,55.6053,212.787,2652,857,59,553.3,120,701.131,2708.876,5.905,1.50939100739898,0.55001793815796,0.00217987091324963
1773,7085.834,28.3583,16326.069,1761.203,77.352,0,784.269,1336.351,505.54,18744.676,6751,0.248552675662456,0.132703828496531,0.360155598314956
1783,17.93,3.3907,21.425,6.454,0.716,0.24,1.895,0.375,8.034,28.951,854.92,0.359955382041272,0.0818285714285714,29.5298953404027
1794,2833,48.1392,6691,1108,304,35,536,2228,2018,9012,2024.606,0.391104835863043,0.130921619293712,0.224656679982246
1820,655.269,19.0983,8.048,0,39.205,0,-28.712,150.388,11.038,324.696,3.52,0,0.780307704555859,0.0108409096508734
1823,97.14,7.0529,143.836,33.264,4.351,0,24.343,7.61,30.873,195.754,10017.117,0.342433600988264,0.123523733817851,51.17196583467
1837,2162,23.2436,1707,1673,160,133,506,0,4405,2373,524.285,0.773820536540241,0.0350492880613363,0.220937631689844
1860,359.994,21.2612,252.427,230,37.03,0,320.485,0,1343.961,650.562,356.037,0.638899537214509,0.0268140777166542,0.547276047478949
1864,361.049,5.1351,1935.766,0,112.145,0,601.195,234.7,986.537,2639.304,911.028,0,0.102072301175408,0.345177364941666
1891,22316.7,11.136,4729.7,39.8,309.2,673.4,1768.2,2383.3,673.8,8927.7,3900,0.00178341779922659,0.314547304170905,0.436842635841258
1913,1951.9,15.615,4480.9,956.2,205.8,88.7,455.6,940.8,1262.9,6512.7,2024.606,0.489881653773247,0.14012391911214,0.310870453114684
1919,6630.168,19.8182,16821.634,1243.681,58.321,0,661.019,566.309,302.583,19160.172,4314,0.187579108101032,0.161596989781216,0.225154554979987
1920,4184.3,3.8565,3803.5,2408.6,158.3,384.1,1234.8,675.1,1627.4,10862.8,2708,0.57562794254714,0.0886487091896735,0.249291158817248
1926,14.964,20.8357,100.69,8.045,0.676,0,-76.167,0,1.369,77.896,212.998,0.537623630045442,0.330562347188264,2.73438944233337
1951,11.298,0.4633,1.353,0,0.148,0,-7.478,0,1.353,1.582,419.14,0,0.0986009327115256,264.943109987358
1968,97.337,11.1897,165.351,0,8.459,7.784,44.083,9.162,66.088,276.634,1004.974,0,0.113472037774827,3.63286508527513
1974,230.203,21.2312,390.795,0,9.501,0,24.089,53.441,16.847,499.353,490.791,0,0.360596629725216,0.982853812833807
1976,8707,32.6389,10115,3554,1069,241,1559,5869,6310,14414,2501,0.408177328586195,0.144870578669196,0.173511863466075
1979,129.652,6.5201,168.475,3.432,8.559,3.091,49.77,28.515,43.388,255.071,419.14,0.026470860457224,0.164764086472751,1.64322874807407
1988,2305.7,17.635,6254.1,2701.6,265.5,35.8,753.6,2105.3,2048.2,7630,894.132,1.17170490523485,0.114751264208843,0.117186369593709
1995,6452.6,39.1873,12857.5,4448.8,519.5,196.5,963,2408,9278.8,14340,2172,0.689458512847534,0.0530194013247196,0.151464435146444
2044,1529.3,19.2,911.9,896.9,104.9,66.9,770.3,607.4,327.9,2720.2,1255.659,0.586477473353822,0.242375231053604,0.46160539666201
2049,450.208,13.2298,674.594,259.647,49.45,17.461,86.53,384.241,218.434,1133.199,854.92,0.576726757409908,0.184594824625584,0.754430598685668
2061,69.405,4.9951,72.428,0,0.867,1.63,14.736,0,4.125,123.787,524.285,0,0.173677884615385,4.23538012876958
2073,101.497,1.4268,5.02,1176.622,66.519,0,69.698,0,123.897,216.714,17.9,11.5926776160872,0.34933513990421,0.0825973402733557
2080,91.471,9.1967,116.343,4.295,6.223,0,-4.199,0,73.763,235.254,764.933,0.0469547725508631,0.0778011151951591,3.25151963409761
2086,7989,11.3081,5707,4363,671,688,3043,2015,5260,13056,3144,0.546125923144323,0.113134378688248,0.240808823529412
2100,9.83,36.6949,228.383,785.563,34.307,0,0.476,225.373,1701.696,112.243,5.905,79.9148524923703,0.0197620626231637,0.0526090713897526
2101,618.86,13.098,1377.486,0,21.616,25.416,110.05,63.405,58.471,1893.208,960.9,0,0.269906476706582,0.507551204093792
2111,4505.25,23.6475,3115.201,1495.357,427.982,345.713,1676.797,763.961,3100.492,7372.333,4117,0.331914322179679,0.121293794427846,0.55843923490705
2124,203.564,18.8287,229.508,0,8.836,3.181,23.931,4.264,44.793,302.539,490.791,0,0.164761602864122,1.62224043842282
2136,22348,13.643,42008,45252,16303,5412,18616,21988,87711,106800,5370,2.02487918381958,0.156738515969004,0.0502808988764045
2150,210.796,1.6537,445.736,897.111,34.693,0,206.966,423.873,164.439,687.395,209.945,4.25582553748648,0.174221119659321,0.305421191600172
2154,1466.919,17.4566,3734.998,1283.525,210.5,101.884,404.366,1013.697,1540.753,4835.042,911.028,0.874980145461338,0.120199651335358,0.188421941319227
2184,302.172,22.4329,495.969,363,84.6,0,-3.924,136.57,231.781,713.792,222.185,1.20130256939756,0.26739911688755,0.311274152694342
2220,1975.346,55.1717,727.43,731.1,108.2,0,284.009,363.981,333.617,1927.118,49.073,0.370112375249703,0.244897774417915,0.025464450023299
2222,71.325,0.7012,2.255,0.038,0.418,0,-55.984,0,0.809,4.028,854.92,0.000532772520154224,0.340668296658517,212.244289970209
2230,1735,11.1886,3174.457,3252.3,863.4,0,1163,752.5,9662,4184.698,112,1.87452449567723,0.0820301366218861,0.026764177486643
2240,91.748,10.3641,3.528,0,1.436,0,-2.36,0,2.007,95.875,209.945,0,0.417078129538193,2.18977835723598
2259,670.871,28.0188,995.376,1186.05,126.894,56.467,184.981,3.28,2495.433,1307.251,160.78,1.76792557734646,0.0483898461175895,0.12299091758201
2269,83.934,30.5482,721.669,0,18.2,0,53.264,76.501,879.1,744.065,178.199,0,0.0202830714365318,0.239493861423397
2271,288.902,0.879,381.183,339.75,25.371,0,87.155,103.7,108.348,611.48,151.9,1.17600431980395,0.189733695286384,0.248413684830248
2282,646.556,21.5784,163.096,772.082,68.921,14.942,7.805,185.1,365.366,438.065,43.4,1.19414559605046,0.15869920121947,0.0990720555168753
2285,40572,3.7619,50370,11473,1313,1253,4913,4937,8931,64306,15709,0.282781228433402,0.128172588832487,0.2442851366902
2290,2014.286,6.6997,5199.419,1740.435,100.936,2.698,136.466,0,397.289,7150.007,641.756,0.864045622121188,0.202591198755582,0.0897559960430808
2295,58.668,8.285,15.235,0,0.707,0,6.89,10.957,3.957,31.485,369.3,0,0.151586620926244,11.7293949499762
2312,971.86,5.7077,1925.513,1.656,55.958,76.591,114.589,189.787,103.651,3175.093,149.894,0.00170394912847529,0.350594264734445,0.04720932583707
2316,41562,143.918,57791,4924.109,262.658,0,6790,324,12749,67791,14032,0.118476228285453,0.0201863590327997,0.206989128350371
2342,11.311,7.0729,22.211,0,1.687,3.188,2.29,0,22.976,27.084,12.543,0,0.0684020597656408,0.463114754098361
2352,668.972,19.0983,582.777,382.94,53.022,36.786,144.77,768.6,145.502,1259.096,17.9,0.572430535209246,0.267081058209587,0.0142165490161195
2390,41.487,3.8808,68.933,0,2.168,0.933,5.523,0,7.892,117.655,10017.117,0,0.215506958250497,85.1397475670392
2403,13273,9.2212,4420,5328,744,2202,6136,5233,4664,19484,5370,0.401416409251865,0.137573964497041,0.275610757544652
2435,755.741,2.9478,564.43,694.9,229.1,27.639,439.78,349.674,235.4,1833.737,112,0.919494906323727,0.493218514531755,0.0610774609445084
2436,636.4,13.3938,493.713,347.953,9.846,0,212.6,70.909,27.414,879.509,453.573,0.546752042740415,0.264251207729469,0.515711607271785
2444,1535.8,0.794,2554,828.4,129.3,4.4,78.6,290.9,630.2,3403.3,1255.659,0.539393150149759,0.170243581303489,0.368953368789116
2448,355.725,18.9152,1050.665,50.653,35.394,0,82.665,72.936,265.868,1302.314,808.819,0.142393703000914,0.117485776500189,0.621062969452835
2490,1753,6.1955,2095.6,1703.339,333,241,239.699,1761,567.63,3975.813,982.3,0.971670849971477,0.369741181173179,0.247068964259637
2497,721.674,8.3498,1938.882,394.151,57.966,0,184.525,613.369,180.786,2308.031,149.894,0.546162117521208,0.242787494973864,0.0649445349737504
2504,1875.4,-22.0023,2809.2,823.2,138.7,0,375.7,197.9,219.7,4019.6,1169.132,0.43894635811027,0.386997767857143,0.290857796795701
2536,210.796,27.2626,853.597,0,44.1,0,110.05,97.589,102.94,1108.282,356.037,0,0.299918389553863,0.321251269983632
2538,270.011,13.5603,721.669,0,10.657,9.9,7.205,63.274,31.019,926.289,524.285,0,0.255710720798541,0.566005857783046
